n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.34213, Test accuracy: 87.58%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.26851, Test accuracy: 88.22%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.43789, Test accuracy: 87.44%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.33528, Test accuracy: 87.92%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.57906, Test accuracy: 86.29%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.43385, Test accuracy: 87.70%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.29218, Test accuracy: 88.02%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.23121, Test accuracy: 87.65%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.34461, Test accuracy: 87.95%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.27162, Test accuracy: 87.61%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.44075, Test accuracy: 87.13%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.33854, Test accuracy: 87.89%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.26414, Test accuracy: 88.08%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.21927, Test accuracy: 88.38%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.26909, Test accuracy: 86.41%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.21624, Test accuracy: 88.33%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.29056, Test accuracy: 87.91%
n_hidden_lrs: 4, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.23219, Test accuracy: 87.50%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.32807, Test accuracy: 87.61%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.25158, Test accuracy: 87.79%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.42190, Test accuracy: 87.46%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.31919, Test accuracy: 88.03%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.56127, Test accuracy: 86.55%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.41796, Test accuracy: 87.98%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.27402, Test accuracy: 87.54%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.20889, Test accuracy: 88.20%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.32969, Test accuracy: 87.34%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.25179, Test accuracy: 87.69%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.42338, Test accuracy: 87.35%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.32006, Test accuracy: 88.05%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.23637, Test accuracy: 88.52%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.18638, Test accuracy: 88.33%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.24867, Test accuracy: 88.10%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.19205, Test accuracy: 87.71%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.27560, Test accuracy: 88.28%
n_hidden_lrs: 4, n_hidden_units: 40, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.21109, Test accuracy: 87.92%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.31297, Test accuracy: 88.34%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.23247, Test accuracy: 88.12%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.40999, Test accuracy: 87.06%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.30409, Test accuracy: 88.02%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.54707, Test accuracy: 87.09%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.40833, Test accuracy: 87.91%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.26310, Test accuracy: 88.06%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.19244, Test accuracy: 87.77%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.31467, Test accuracy: 88.42%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.23423, Test accuracy: 88.28%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.41082, Test accuracy: 87.98%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.30566, Test accuracy: 87.86%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.22106, Test accuracy: 88.77%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.16626, Test accuracy: 88.21%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.23255, Test accuracy: 88.88%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.17376, Test accuracy: 88.02%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.25681, Test accuracy: 88.77%
n_hidden_lrs: 4, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.19070, Test accuracy: 88.28%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.36462, Test accuracy: 87.95%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.27802, Test accuracy: 87.65%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.46978, Test accuracy: 87.42%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.34839, Test accuracy: 86.95%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.64601, Test accuracy: 86.72%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.46421, Test accuracy: 86.72%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.29463, Test accuracy: 87.96%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.23269, Test accuracy: 87.81%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.36498, Test accuracy: 87.85%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.27918, Test accuracy: 87.52%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.46861, Test accuracy: 87.67%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.34862, Test accuracy: 86.98%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.26709, Test accuracy: 88.19%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.22066, Test accuracy: 87.61%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.27815, Test accuracy: 87.92%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.22603, Test accuracy: 87.87%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.29409, Test accuracy: 87.69%
n_hidden_lrs: 5, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.23522, Test accuracy: 87.31%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.34704, Test accuracy: 87.88%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.26026, Test accuracy: 87.02%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.45056, Test accuracy: 86.88%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.33143, Test accuracy: 87.65%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.61760, Test accuracy: 86.42%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.44523, Test accuracy: 87.75%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.28520, Test accuracy: 88.10%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.21934, Test accuracy: 87.71%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.35156, Test accuracy: 87.86%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.26351, Test accuracy: 87.76%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.45621, Test accuracy: 87.19%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.33745, Test accuracy: 88.00%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.24585, Test accuracy: 88.62%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.19403, Test accuracy: 88.08%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.25801, Test accuracy: 88.52%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.20017, Test accuracy: 88.33%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.28437, Test accuracy: 87.55%
n_hidden_lrs: 5, n_hidden_units: 40, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.21927, Test accuracy: 88.31%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.34737, Test accuracy: 87.46%
